job_id,job_employment_type,job_title,job_apply_link,job_description,job_city,job_country,job_posted_at_timestamp,employer_website,employer_company_type
1,FULLTIME,Data Engineer,https://ca.linkedin.com/jobs/view/data-engineer-at-clinia-3790345177,"• *Please note that our offices will be closed from December 25 to January 5, 2024 (inclusively). We will be delighted to respond to applications received as soon as we return, during the week of January 8, 2024. Happy Holidays!

Who are we?

We are a health technology startup building the search and data infrastructure for digital health systems of tomorrow. Our mission is simple, but the environment which we specialize in is complex.

We power enterprise-scale health organizations and healthtech startups to improve and optimize access to health care & support across North America and Europe. At our heart, we are a product & technology driven organization, and we look for people who share our vision leveraging technology to solve and scale some of the most impactful operational challenges in healthcare.

As our team grows, we are looking for an experienced data engineer to help us tie together our data processing pipelines that enable the development of our health-care specific ML models.

What are we looking for?

A FIT.

We would like the person who joins our team to be someone:
• who gets up in the morning wanting to be better than the day before, and for whom a 7/10 is not ""ok"";
• who wants to be part of a team and who has passion and collaboration as a must to reach a goal.

Your role

We are looking for a person with a robust background in building data pipelines to provide datasets for training machine learning models. We desire someone who is deeply passionate about ensuring data quality and is dedicated to continuously enhancing established processes to support the training of machine learning models.

As a Data Engineer, you will be in charge of:

1. Data Infrastructure Design:

How
• Collaborate closely with web scraping engineers, ETL engineers, and stakeholders to understand data requirements.
• Design secure and efficient processes for ingesting healthcare data from private sources and crawled websites.
• Develop and maintain robust data cleaning and transformation procedures for ensuring data quality and consistency.
• Utilize Spark and Ray for scalable, high-performance distributed data processing optimized for large healthcare datasets.
• Implement and manage Apache Airflow workflows for scheduling and automating routine healthcare data processing tasks.

Why
• Support the development of Health Grade Models for Clinia's search engine, with datasets serving as the foundational elements.
• Ensure data availability, versioning, and reliability to meet the critical needs of model development.

2. Security, Compliance, and Quality Assurance

How
• Work collaboratively with the GRC Lead to ensure data processing aligns with regulations and certifications (e.g., GDPR, HIPAA).
• Implement security measures such as data encryption, access controls, and anonymization techniques to safeguard sensitive data.

Why
• Clinia works in the HealthCare industry and it’s our duty to deploy the most secure processes when dealing with sensitive data. to minimize the risks of data leakages and misuse.
• Comply with certifications required for business development across diverse legislations due to the sensitive nature of the healthcare data.

3. Documentation and Knowledge Sharing:

How
• Maintain comprehensive documentation for data processing pipelines, including design decisions, configurations, and workflow dependencies.
• Facilitate knowledge-sharing sessions with the data engineering team to disseminate best practices, new techniques, and updates.

Why
• Promote transparency and understanding within the team by documenting key aspects of the data processing infrastructure.
• Foster a collaborative and informed team culture, allowing team members to stay updated on the latest advancements in data engineering and technology.

In terms of skills, you should have:
• Solid Python programming skills, as well as proficiency with SQL.
• Knowledge of different data processing paradigms (ETL, ELT, etc.)
• Experience working with data streaming pipelines
• Experience working with parallel and distributed data computing (Ray, Spark, Dask, Hadoop, etc.)
• Experience working with versioned data lakes (Apache Iceberg)
• Experience working with containers and cloud computing
• Knowledge of Scala (nice to have)
• Experience working with sensitive and clinical data (nice to have)

If you have other skills that you think would be a plus for the team, we are of course very curious to hear from you.

What we have to offer you
• 4 weeks of vacation;
• Summer schedules;
• Group insurance from day 1;
• Direct access to a 24/7 online doctor for you and your family through our partner (and client) Dialogue from day 1;
• Employee and Family Assistance Program (EFAP);
• Flexible hours: free to work the hours you are most productive;
• Flexible office: free to work from wherever you want;
• Autonomy, because Hey, you're the specialist;
• Independence of action in a highly collaborative environment;
• High-performance equipment (MacBook) and a workstation adapted to your needs (all team members have their own stand-up desk);
• Camellia Sinensis tea and Montreal roasted coffee for your office time;
• Pet therapy with Clinia's dogs @pico_the_teckle, Alaska and Opale;
• Team buildings, 5@7, and team activities.

But also, this:

Moving is important : Clinia fundamentally believes in a balanced, active lifestyle. That's why we decided to offer a bonus ($) for every hour of physical activity you do: hiking, biking, running, climbing - whatever your sport, whatever day of the week, we encourage you to keep going

We also offer the opportunity to :
• Play an essential role in the development of a scaling company;
• Contribute to the development of a product used by millions of patients in Canada;
• Work with a team of persevering and ambitious people with a true team spirit.

Our approach is simple:

We are a young and dynamic team that advocates the involvement and equality of everyone in decision-making - we don't say that to be cool, we really believe in it. So we're looking for someone who can use their expertise to help us build a solid future for tomorrow.Do you have the motivation, focus and entrepreneurial spirit to meet this challenge? We're looking for someone like you!

Apply now !
• By submitting your application, you consent to share your personal information with Clinia, which will use it to process your application for this job position. Clinia will not use this information for any other purposes than stated above.",Montréal,CA,2023-12-19 20:22:00,http://www.bdo.com,Consulting
2,FULLTIME,Data Engineer,https://ca.linkedin.com/jobs/view/data-engineer-at-artemis-consultants-3790054925,"We are seeking an experienced and passionate Data Engineer who can designing, developing, maintain and govern data assets and data related products in customer platforms by liaising with multiple stakeholders.
• Bachelor’s or Master’s (preferred) degree in in a quantitative or technical field such as Computer Science, Information Technology, Computer Engineering or equivalent
• 4+ years of experience in Data Engineering, Data Governance and working with Customer Data Platforms (CDP)
• Knowledge of all popular CDPs and expert working knowledge of at least one CDP
• Knowledge of market trends including cloud technology
• Hands on data stewardship experience
• Strong working knowledge of SQL, Hadoop, Hive, Python and PySpark
• Demonstrated interest in learning about emerging data platforms and Big Data technologies
• Strong communication, problem solving, and organizational skills
• Must be detail oriented, quality driven, and able to shift quickly to new tasks
• Experience working with Amperity CDP is preferred but not required.",London,CA,2023-12-19 15:55:00,http://www.bdo.com,Consulting
3,FULLTIME,"2024 RBCIS, Summer Co-op Data Engineer / Full Stack Dev (4 months)",https://ca.linkedin.com/jobs/view/2024-rbcis-summer-co-op-data-engineer-full-stack-dev-4-months-at-rbc-3784463482,"Job Summary

Job Description

What is the opportunity?

This role will encompass an end-to-end system view for Data and Digital solutions within I&TS Data management office.
• Build real-time data pipelines (inbound, outbound) through container-based solutions
• Build/enhance Portal and APIs
• Integrate data with Cloud based platforms, publish data through APIs and Portal
• Participate in Data curation requirements and support Data and Digital needs of business and technology stakeholders
• Evaluate current state of data access control in regards to authentication, authorization and encryption practices across I&TS systems. Develop and support remediation strategy
• Work in an agile team of Data Engineers, Developers

What do you need to succeed?
• Data Engineering: Python, Airflow, Spark
• API: Node.JS, NestJS, Apigee
• SQL/Database: Microsoft SQL Server, Azure SQL, Stored procedures
• Portal/analytics solutions: Angular, D3.js
• Cloud and Containers: Azure (ADLS2, Azure Databricks), Openshift, Docker
• Strong knowledge of algorithms and data structures.

Nice to have:
• Master’s degree in Computer science or equivalent experience
• Automation/DevOps: Jenkins, Selenium and similar technologies
• Source code control: GIT
• Experience working in agile/SaFe environment

Job Skills

Angular, Docker Kubernetes Administration, Node.js, Python (Programming Language), Structured Query Language (SQL)

Additional Job Details

Address:

RBC CENTRE, 155 WELLINGTON ST W:TORONTO

City:

TORONTO

Country:

Canada

Work hours/week:

37.5

Employment Type:

Full time

Platform:

Wealth Management

Job Type:

Student/Coop (Fixed Term)

Pay Type:

Salaried

Posted Date:

2023-12-19

Application Deadline:

2024-01-21

Inclusion and Equal Opportunity Employment

At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.

Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com",Toronto,CA,2023-12-19 22:30:00,http://www.rbc.com,Finance
4,FULLTIME,Lead Data Engineer,https://ca.linkedin.com/jobs/view/lead-data-engineer-at-nortal-3790096182,"Overview

At Nortal, we are driven by a grand vision – to create solutions that have a meaningful and far-reaching impact on people's lives. Whether it's revolutionizing tax systems, enhancing healthcare, or providing more convenient telecom services, our projects have already touched the lives of over half a billion people worldwide, and we're only just beginning.

We are providing end-to-end data solutions to governments and corporations in Europe, MEA, and North America, from data modeling and designing architectural solutions to their implementation. We work in a great atmosphere with highly skilled professionals, where each member can cover aspects required for a fully implemented solution, including DevOps duties - CI/CD and infrastructure provisioning.

Would you like to work with an extremely talented international team? If you have been dreaming about getting your hands dirty by writing highly scalable data processing code and creating data pipelines that make a difference in the world, we have job offer for you.

We are looking for a Lead Data Engineer, to take on large-scale challenges and build significant impact stories together!

Responsibilities
• Design, develop, and maintain robust data pipelines, ETL processes, and data integration solutions using a combination of different technologies and frameworks such as Azure/AWS, SQL, Python, etc.
• Develop and maintain data models, data warehouses, and data marts to support data analytics and business intelligence activities.
• Ensure data quality and integrity across the entire data lifecycle, from data ingestion to data consumption.
• Select and integrate appropriate data storage technologies, such as SQL or NoSQL databases, and Hadoop-based systems.
• Develop and maintain data processing and analysis tools using programming languages (Python is preferred)
• Design and implement data security and access control mechanisms to protect sensitive data and comply with data privacy regulations.
• Collaborate with clients and stakeholders to understand their business needs and develop data-driven solutions to meet their requirements.
• Help junior data engineers within projects.
• Contribute to the development and improvement of Nortal's data engineering methodologies and best practices.
• Keep up to date with the latest trends and innovations in data engineering and big data technologies and share knowledge with colleagues and clients.
• Collaborate with data, engineering, design, product, and executive teams to assist them with data-related technical issues.

Qualifications

What you will need to succeed:
• At least 5 years of combined data engineering and software development experience (Python background preferred)
• Familiarity with major cloud providers (GCP, AWS, Azure, etc.)
• Experience with Python and related development frameworks
• Experience with SQL and mainstream database platforms (Postgres, MongoDB, Oracle, etc.)
• Familiarity with Docker and Kubernetes
• Experience with at least one of the following: Databricks, Snowflake, Azure Synapse, Airflow
• Knowledge about big data and data modeling
• Experience with event-based modeling and stream processing, including Spark and Kafka
• Understanding and experience with data pipelines, warehousing, and their scalabilities
• Experience in data security and governance
• Keen on learning and exploring modern technologies/solutions
• Team player with effective communication skills

Why join Nortal?
• We hire people not only for their skills but also for cultural fit. We live by our values: commit to delivering value and results, take ownership, empower yourself and others, and own your future and growth. Besides our professionalism, we like to spice things up with good humor
• We care about your growth & development. In Nortal we support constant improvement and knowledge sharing via Learning Hives, external and internal training, dedicated time for self-learning, a mentorship program, and strong 1:1 culture
• We prioritize your health & well-being
• We support your work-life balance and provide flexible working hours",London,CA,2023-12-19 17:06:00,http://www.nortal.com,Computer Services
5,FULLTIME,2024 Investor Services - Business Data Analyst Co-op (12 months),https://jobs.rbc.com/ca/en/job/R-0000074144/2024-Investor-Services-Business-Data-Analyst-Co-op-12-months,"Job Summary

What is the opportunity?

As the Business Data Analyst co-op, you will work as part of an experienced Data and Analytics team that supports Investor Services’ businesses with analytics and insights to support development of new opportunities, manage and support business priorities, track and understand key leading and lagging results.

The role requires you to have an active interest in Financial data and Operational flows. Successful candidate will look to take initiative when trying to solve abstract problems through creativity and structure. The candidate must demonstrate a Growth Mindset and be willing to learn and absorb concepts “on the job”.

Job Description

What will you do?

Use your data and analytic skills to help business teams understand trends, solve problems and support business decisions including:
• Produce data-driven insights to help in informed decisions and actions by telling a convincing story and effectively communicate findings to business partners and executives.
• Prepare and integrate large and various types of data (structured/non-structured).
• Leverage visualization tools/packages to create powerful representations of results.
• Participate in meetings to gather and document business requirements.

What do you need to succeed?

Must-have:
• Working towards a degree in Business, Computer Science, Data Science, Mathematics, or other quantitative disciplines
• Advanced Python coding skills and hands on experience with data analysis and transformation packages such as Pandas and Numpy
• Familiarity with database and query languages (e.g. SQL)
• Strong communication and presentation skills
• Must be a self-starter, with strong analytical and interpersonal skills, as well as the ability to work in a fast-paced environment and manage multiple competing priorities
• Ability to learn and absorb new concepts (in business and in systems) quickly and apply new knowledge
• Exceptional problem-solving skills and ability to conceptualize strategy
• Attention to detail, organization, ability to multitask and time management is critical

Nice-to-have
• Strong working knowledge of developing Power BI reports/dashboards
• Familiarity with ML concepts, NLP, and text analytics methods and packages
• Experience in time-series prediction and anomaly detection
• Experience in working with data science platforms like Dataiku, Azure Databricks, AWS
• Familiarity with python machine learning frameworks such as Scikit Learn

Job Skills

Communication, Computer Literacy, Detail-Oriented, Interpersonal Relationships, Listening Effectively, Personal Development, Taking Initiative

Additional Job Details

Address:

RBC CENTRE, 155 WELLINGTON ST W:TORONTO

City:

TORONTO

Country:

Canada

Work hours/week:

37.5

Employment Type:

Full time

Platform:

Wealth Management

Job Type:

Student/Coop (Fixed Term)

Pay Type:

Salaried

Posted Date:

2023-12-19

Application Deadline:

2024-01-21

Inclusion and Equal Opportunity Employment

At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.
​​​​​​​
We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.

Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com.",Toronto,CA,2023-12-20 00:00:00,http://www.rbc.com,Finance
6,FULLTIME,Data Engineer,https://ca.linkedin.com/jobs/view/data-engineer-at-aviva-canada-3770031304,"Individually we are people, but together we are Aviva. Individually these are just words, but together they are our Values – Care, Commitment, Community, and Confidence.

We are looking for a collaborative and resourceful Data Engineer/ETL Developer. You are dedicated, naturally inquisitive and are comfortable in a fast-paced environment.

This role will be part of and a member of our Data Delivery Group, you will be responsible for analysis, design and implementation in high-performing, experienced team. You'll be required to apply your depth of knowledge and expertise to all many areas including requirements, infrastructure, and solutioning. Aviva has embarked on an exciting journey to modernize, craft and build a next generation of data platform to support the growing data needs for data engineering, analytics and Data Science.

We embrace a culture challenging the status quo and constantly look to efficiently simplify processes, technology, and workflow.

This position reports to the AVP – Data Delivery.

What You’ll Do
• Design and Develop ETL Pipeline to ingest data into Hadoop from different data sources (Files, Mainframe, Relational Sources, NoSQL Etc.) using Informatica BDM
• Parse unstructured data, semi structured data such as JSON, XML etc. using Informatica Data Processor.
• Analyze the Informatica PowerCenter Jobs and redesign and develop them in BDM.
• Design and develop efficient Mapping and workflows to load data to Data Marts.
• Perform the GAP analysis between various legacy applications to migrate them to newer platforms/data marts.
• Write efficient queries in Hive or Impala and PostgreSQL to extract data on Adhoc basis to do the data analysis.
• Identify the performance bottlenecks in ETL Jobs and tune their performance by enhancing or redesigning them.
• Work with Hadoop administrators, Postgres DBAs to partition the hive tables, refresh metadata and various other activities, to enhance the performance of data loading and extraction.
• Performance tuning of ETL mappings and queries.
• Write simple or medium complex shell scripts to preprocess the files, schedule ETL jobs etc.
• Identify various manual processes, queries etc. in the Data and BI areas, design and develop ETL Jobs to automate them.
• Participate in daily scrums; work with vendor partners, QA team and business users in various stages of development cycle.
• Advocate importance of data catalogs, data governance and data quality practices.
• Outstanding problem solving skills
• Work in an Agile delivery framework to evolve data models and solution designs to deliver value incrementally.
• You are a self-starter with experience working in a fast-paced agile development environment.

What You’ll Bring
• University degree in Computer Engineering or Computer Science
• 3+ years of experience working on Informatica BDM platform.
• Experience on various execution modes in BDM such Blaze, Spark, Hive, Native.
• 3+ years of experience working on Hadoop Platform, writing hive or impala queries.
• 5+ years of experience working on relational databases (Oracle, Teradata, PostgreSQL etc.) and writing SQL queries.
• Should have deep knowledge on performance tuning of ETL Jobs, Hadoop Jobs, SQL’s, Partitioning, Indexing and various other techniques.
• Experience in writing Shell scripts.
• Experience in Spark Jobs (Python or Scala) is an asset.
• Knowledge/experience in Cloud Data Lake Design – pref AWS technologies like S3, EMR, Redshift, Snowflake, could data catalog etc.,
• Understanding of reporting/analytics tools (QlikSense, SAP Business Objects, SAS, DataIku, etc.,)
• Familiar with the Agile software development
• Excellent verbal and written communication skills
• Insurance knowledge an asset-Ability to foundationally understand complex business process driving technical systems.

What You’ll Get
• Competitive rewards package including base compensation, eligibility for annual bonus, retirement savings, share plan, health benefits, personal wellness, and volunteer opportunities.
• Exceptional Career Development opportunities.
• We’ll support your professional development education.

Additional Information: Aviva Canada has an accommodation process in place to provide accommodations for employees with disabilities. If upon commencement of employment you require a specific accommodation because of a disability, please contact your Talent Acquisition Partner so that an appropriate accommodation can be arranged. This process applies throughout your career with Aviva Canada.",Markham,CA,2023-12-19 14:43:00,http://www.aviva.ca,Finance
7,FULLTIME,Digital Data Analyst (Entry Level) (Fair Marketing Inc),https://ca.linkedin.com/jobs/view/digital-data-analyst-entry-level-fair-marketing-inc-at-bcjobs-3788480358,"We are seeking a motivated and analytic individual to join our team as a Remote Digital Data Analyst. As a Data Analyst, you will be responsible for interpreting and analysing large data sets, making data-driven decisions, and presenting findings to management.

Responsibilities Include
• Collect and analyse large data sets from various sources
• Interpret data and identify trends and patterns
• Create reports and visualisations to communicate findings
• Collaborate with cross-functional teams to provide data-driven insights
• Continuously monitor data for accuracy and completeness
• Identify areas for improvement and make recommendations

Requirements
• Proficient in SQL, Excel, and data visualisation tools such as Tableau or Power BI
• Strong analytic skills with the ability to interpret complex data
• Excellent communication and presentation skills
• Ability to work independently and as part of a team
• Attention to detail and accuracy

If you are a self-starter who is passionate about data and enjoys problem-solving, we encourage you to apply. This is an entry-level position with room for growth within the company.

To apply, please submit your resume and cover letter highlighting your qualifications and why you would be a great fit for this position. We look forward to hearing from you

Value",Vancouver,CA,2023-12-20 04:14:00,http://www.bdo.com,Consulting
8,FULLTIME,Data Engineer,https://ca.bebee.com/job/20231219-5ac8f4a88517c24a0a5ee679438e8178,"Location:
Montreal, Quebec

Our client works to identify and solve the most complex and highest value business problems that can be addressed through data science techniques.

To achieve this, they provide data science, operations research and artificial intelligence solutions and software products to a broad range of industry and technology partners.

In this role, you will work in a client project environment with an AI-Agile Team composed of a Product Manager, consultant, Delivery Team Lead and Data Scientist and contribute to the translation of complex AI/data science algorithms into scalable software.

You will:
• Design, code, create tests, and integrate new features and functionality
• Design, build, and productize complex data pipelines
• Learn the different AI/data science components/models in order for the algorithm to be properly translated in production code
• Participate in scrum project meetings and update stories using project management tools
• Apply CI/CD practices to prevent integration problems as well as ensure that the code is releasable at any point in time
• Participate in the estimation of the Stories based on defined Acceptance Criteria and Definition of Done

Must Have Skills:
• You have 3+ year experience in building B2B solutions in a cloud environment
• You have experience with Operations Research / Machine Learning / Deep Learning
• Experience with Hadoop, Spark, Hive, Snowflake, Databricks, RedShift, BigQuery, etc
• You are a strong developer, fluent in one or more of the prominent tools/platforms and able to implement end-to-end solutions
• You have previous exposure to AI/data science concepts and, with the guidance of seasoned AI/data science engineers, are proficient in the translation of those concepts into production-grade, efficient code (asset).

Cloud:
AWS, Azure or GCP

Languages:
Python

Big Data:
Hadoop, Spark, Hive

Relational Database:
MySql, PostgresSQL, Oracle, MS-SQL

No

Sql:
Cassandra, Elastic Search, Mongo DB

Nice to Have Skills:
• Experience with application and cloud security.
• Helped organizations achieve security compliance such as SOC2, PCI-DSS, GDPR, PIPEDA, HIPAA, etc
• Any relevant security certifications. Specifically in cloud.
• Experience Java, C++, SCALA and Javascript are an asset
#J-18808-Ljbffr",Montréal,CA,2023-12-19 14:50:00,http://www.bdo.com,Consulting
9,FULLTIME,Database Engineer,https://jobs.rbc.com/ca/en/job/R-0000074081/Database-Engineer,"Job Summary

Job Description

What is the opportunity?

Wealth Management Applied Analytics and Innovation (WM AI) is responsible for developing and implementing a data and analytics strategy that delivers key insights to Senior Management, Advisors, and supporting functions across RBC Wealth Management.

Within WM AI, the DevOps/Infrastructure team is responsible for building and supporting the operational infrastructure of various applications and databases that are driving advanced insight and innovation for the business by leveraging data engineering, emergent cloud capabilities, machine learning techniques, and analyzing data sources from across Wealth Management and RBC.

Data engineers within WM AI work closely with the data scientists and analysts to understand the objectives of their projects, build data pipelines, design data architecture, and serve as a subject matter expert in database design decisions, data engineering approaches, and overall application architecture.

What will you do?

As a Data Engineer you will collaborate, innovate, support, and build analytical products and assimilate data in a flexible, start-up environment. You will tackle real RBC Wealth Management business challenges working as a member of a diverse group which includes business partners, Data scientists, Analytics Developers, UX/UI designers, and domain experts.

You will design database solutions, including server management, model data architecture, manage database operations, and support the various analytical tools used for delivery of business objectives. You will be leveraging our MSSQL and BI infrastructure along with other on premises resources, tools, and environments to support advanced business analytics and data applications.

You will work both independently and as part of a team to research, test, and ideate various solutions to business problems. You will work to build, support, and deploy solutions as well as manage infrastructure of various applications. You need to have a passion for building robust, stable, and scalable infrastructure and commitment to continuously improve and adapt existing applications and pipelines.

You will be working in a start-up like setting where fast-fail is highly valued, level of uncertainty is high, and requirements are not all defined in advance. You will be required to challenge the status quo, and think outside the box to develop and design solutions. You will need to be comfortable working with a wide range of stakeholders and functional teams and be able to work closely with stakeholders to drive business outcomes.

What do you need to succeed?

Must Have:
• 3+ years in building data applications, managing ETL pipelines, continuous deployment experience or data modelling experience including either academic research or applied work projects
• Experience in MS analytic toolset like PowerBI, MSSQL Studio, SSMS, SSAS
• Knowledge of database management , operations, and security principles in MSSQL
• Data modelling, design, and architecture in relational databases
• Drive to ensure good and robust design principles, and building scalable and secure solutions

Nice to Have:
• Expressed interest or previous experience in Wealth Management, Finance or FinTech
• In-depth experience in writing and managing databases, complex queries, and ETL pipeline
• Extensive experience designing and building database solutions to solve real world problems, with strong preference of this experience in MSSQL

What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
• Leaders who support your development through coaching and managing opportunities
• Opportunity to try new things, bring fresh ideas, innovation
• Ability to make a difference and lasting impact
• Work in a dynamic, collaborative, progressive, and high-performing team

RBC is committed to supporting flexible work arrangements when and where available. Details to be discussed with Hiring Manager.

RBC requires as a condition of employment that all successful candidates in the United States and Canada be fully vaccinated against COVID-19 prior to their start date, and may require proof of the same. Reasonable accommodation is available where required by law.

Job Skills
Big Data Management, Cloud Computing, Data Architecture, Database Development, Database Structures, Data Management, Data Mining, Data Warehousing (DW), ETL Processing, Problem Solving, Quality Management, Requirements Analysis

Additional Job Details

Address:

RBC CENTRE, 155 WELLINGTON ST W:TORONTO

City:

TORONTO

Country:

Canada

Work hours/week:

37.5

Employment Type:

Full time

Platform:

Wealth Management

Job Type:

Regular

Pay Type:

Salaried

Posted Date:

2023-12-14

Application Deadline:

2024-01-01

Inclusion and Equal Opportunity Employment

At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.
​​​​​​​
We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.

Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com.",Toronto,CA,2023-12-20 00:00:00,http://www.rbc.com,Finance
10,FULLTIME,Data Analyst,https://hitmarker.net/jobs/bethesda-data-analyst-898514,"Join Constellation!

Come join Bethesda Game Studios, the award-winning development team behind Starfield, The Elder Scrolls and Fallout. Bethesda Game Studios strives to offer its employees a well-balanced home and work life by providing competitive salaries, a generous benefits program, and offices located in some of North America’s best cities.

With a goal of creating a culture as fun and diverse as our games and our players, we welcome applicants with unique skillsets, experience levels and backgrounds. If you are passionate about making a meaningful contribution to some of the most significant games in the industry we’d love to hear from you!

Responsibilities

Your Daily Life at Bethesda Game Studios

As Data Analyst, you will…
• Provide insights and analysis to our game teams to facilitate the full cycle of game development
• Mine data and perform analysis across game systems to help determine what is fun/not fun in the game, identify game imbalances, identify optimal strategies for monetization, etc.
• Design, develop, distribute, and maintain ad-hoc and recurring reports, visualizations, dashboards, and statistical models
• Interpret data and communicate actionable findings to development and business teams
• Partner with inter-departmental teams to elicit and document collection and reporting requirements
• Work with data and gameplay engineers to ensure architecture will support requirements
• Serve as a subject matter expert and resource for accessing and analyzing data using Tableau or other tools as necessary

Qualifications

What Makes You S.P.E.C.I.A.L.
• You have 3 or more years of experience as a data analayst
• You have applied knowledge of current data analysis visualization techniques, including practical experience with data visualization software (e.g. Tableau, Looker)
• You have strong critical thinking skills with knowledge and experience in analytic techniques and statistics
• You have intermediate to advanced SQL knowledge, including familiarity with statistical, aggregate, and windowing functions
• You are able to gather requirements and define business needs for data collection and analysis
• You are able to articulate with excellent verbal and written communication skills
• You have a passion for Bethesda Game Studios titles",Montréal,CA,2023-12-19 12:22:00,http://www.bdo.com,Consulting
